"Severity","ThreadID","Date","Time","Application","Message"
"INFO","main","01/14/2025","16:33:33","startup","Touched monitors"
"INFO","main","01/14/2025","16:33:33","startup","Start CFML Controller"
"INFO","main","01/14/2025","16:33:33","add-event-listener","UT010041: The servlet context has already been initialized, you can only call this method from a ServletContainerInitializer or a ServletContextListener;java.lang.IllegalStateException: UT010041: The servlet context has already been initialized, you can only call this method from a ServletContainerInitializer or a ServletContextListener
	at io.undertow.servlet.spec.ServletContextImpl.ensureNotInitialized(ServletContextImpl.java:1032)
	at io.undertow.servlet.spec.ServletContextImpl.addListener(ServletContextImpl.java:746)
	at lucee.runtime.engine.CFMLEngineImpl.addEventListener(CFMLEngineImpl.java:792)
	at lucee.runtime.engine.CFMLEngineImpl.addServletConfig(CFMLEngineImpl.java:751)
	at lucee.loader.engine.CFMLEngineWrapper.addServletConfig(CFMLEngineWrapper.java:87)
	at lucee.loader.engine.CFMLEngineFactory.getInstance(CFMLEngineFactory.java:185)
	at lucee.loader.engine.CFMLEngineFactory.getInstance(CFMLEngineFactory.java:218)
	at lucee.loader.servlet.LuceeServlet.init(LuceeServlet.java:37)
	at io.undertow.servlet.core.LifecyleInterceptorInvocation.proceed(LifecyleInterceptorInvocation.java:117)
	at io.undertow.servlet.core.ManagedServlet$DefaultInstanceStrategy.start(ManagedServlet.java:309)
	at io.undertow.servlet.core.ManagedServlet.createServlet(ManagedServlet.java:145)
	at io.undertow.servlet.core.DeploymentManagerImpl$2.call(DeploymentManagerImpl.java:589)
	at io.undertow.servlet.core.DeploymentManagerImpl$2.call(DeploymentManagerImpl.java:559)
	at io.undertow.servlet.core.ServletRequestContextThreadSetupAction$1.call(ServletRequestContextThreadSetupAction.java:42)
	at io.undertow.servlet.core.ContextClassLoaderSetupAction$1.call(ContextClassLoaderSetupAction.java:43)
	at io.undertow.servlet.core.DeploymentManagerImpl.start(DeploymentManagerImpl.java:605)
	at runwar.undertow.SiteDeploymentManager.createSiteDeployment(SiteDeploymentManager.java:160)
	at runwar.Server.startServer(Server.java:358)
	at runwar.Start.main(Start.java:44)
"
"INFO","main","01/14/2025","16:33:33","startup","Lucee was not able to register an event listener with io.undertow.servlet.spec.ServletContextImpl"
"INFO","main","01/14/2025","16:33:33","startup","Init factory"
"INFO","main","01/14/2025","16:33:33","startup","Loaded config"
"INFO","main","01/14/2025","16:33:33","add-event-listener","UT010041: The servlet context has already been initialized, you can only call this method from a ServletContainerInitializer or a ServletContextListener;java.lang.IllegalStateException: UT010041: The servlet context has already been initialized, you can only call this method from a ServletContainerInitializer or a ServletContextListener
	at io.undertow.servlet.spec.ServletContextImpl.ensureNotInitialized(ServletContextImpl.java:1032)
	at io.undertow.servlet.spec.ServletContextImpl.addListener(ServletContextImpl.java:746)
	at lucee.runtime.engine.CFMLEngineImpl.addEventListener(CFMLEngineImpl.java:792)
	at lucee.runtime.engine.CFMLEngineImpl.addServletConfig(CFMLEngineImpl.java:751)
	at lucee.loader.engine.CFMLEngineWrapper.addServletConfig(CFMLEngineWrapper.java:87)
	at lucee.loader.engine.CFMLEngineFactory.getInstance(CFMLEngineFactory.java:227)
	at lucee.loader.servlet.LuceeServlet.init(LuceeServlet.java:37)
	at io.undertow.servlet.core.LifecyleInterceptorInvocation.proceed(LifecyleInterceptorInvocation.java:117)
	at io.undertow.servlet.core.ManagedServlet$DefaultInstanceStrategy.start(ManagedServlet.java:309)
	at io.undertow.servlet.core.ManagedServlet.createServlet(ManagedServlet.java:145)
	at io.undertow.servlet.core.DeploymentManagerImpl$2.call(DeploymentManagerImpl.java:589)
	at io.undertow.servlet.core.DeploymentManagerImpl$2.call(DeploymentManagerImpl.java:559)
	at io.undertow.servlet.core.ServletRequestContextThreadSetupAction$1.call(ServletRequestContextThreadSetupAction.java:42)
	at io.undertow.servlet.core.ContextClassLoaderSetupAction$1.call(ContextClassLoaderSetupAction.java:43)
	at io.undertow.servlet.core.DeploymentManagerImpl.start(DeploymentManagerImpl.java:605)
	at runwar.undertow.SiteDeploymentManager.createSiteDeployment(SiteDeploymentManager.java:160)
	at runwar.Server.startServer(Server.java:358)
	at runwar.Start.main(Start.java:44)
"
"INFO","main","01/14/2025","16:33:33","startup","Lucee was not able to register an event listener with io.undertow.servlet.spec.ServletContextImpl"
"INFO","main","01/14/2025","16:33:33","add-event-listener","UT010041: The servlet context has already been initialized, you can only call this method from a ServletContainerInitializer or a ServletContextListener;java.lang.IllegalStateException: UT010041: The servlet context has already been initialized, you can only call this method from a ServletContainerInitializer or a ServletContextListener
	at io.undertow.servlet.spec.ServletContextImpl.ensureNotInitialized(ServletContextImpl.java:1032)
	at io.undertow.servlet.spec.ServletContextImpl.addListener(ServletContextImpl.java:746)
	at lucee.runtime.engine.CFMLEngineImpl.addEventListener(CFMLEngineImpl.java:792)
	at lucee.runtime.engine.CFMLEngineImpl.addServletConfig(CFMLEngineImpl.java:751)
	at lucee.loader.engine.CFMLEngineWrapper.addServletConfig(CFMLEngineWrapper.java:87)
	at lucee.loader.engine.CFMLEngineFactory.getInstance(CFMLEngineFactory.java:227)
	at lucee.loader.servlet.CFMLServlet.init(CFMLServlet.java:37)
	at io.undertow.servlet.core.LifecyleInterceptorInvocation.proceed(LifecyleInterceptorInvocation.java:117)
	at io.undertow.servlet.core.ManagedServlet$DefaultInstanceStrategy.start(ManagedServlet.java:309)
	at io.undertow.servlet.core.ManagedServlet.createServlet(ManagedServlet.java:145)
	at io.undertow.servlet.core.DeploymentManagerImpl$2.call(DeploymentManagerImpl.java:589)
	at io.undertow.servlet.core.DeploymentManagerImpl$2.call(DeploymentManagerImpl.java:559)
	at io.undertow.servlet.core.ServletRequestContextThreadSetupAction$1.call(ServletRequestContextThreadSetupAction.java:42)
	at io.undertow.servlet.core.ContextClassLoaderSetupAction$1.call(ContextClassLoaderSetupAction.java:43)
	at io.undertow.servlet.core.DeploymentManagerImpl.start(DeploymentManagerImpl.java:605)
	at runwar.undertow.SiteDeploymentManager.createSiteDeployment(SiteDeploymentManager.java:160)
	at runwar.Server.startServer(Server.java:358)
	at runwar.Start.main(Start.java:44)
"
"INFO","main","01/14/2025","16:33:33","startup","Lucee was not able to register an event listener with io.undertow.servlet.spec.ServletContextImpl"
