"Severity","ThreadID","Date","Time","Application","Message"
"INFO","main","01/14/2025","16:33:31","extract-extension","Extract the extension [37C61C0A-5D7E-4256-8572639BE0CF5838-2.2.4.15.lex] from the lucee.jar to the local extension folder [/media/data/home/rbrown/.CommandBox/server/627A2B6F79A39DBC9AB93B2F1CFA04A9-payroll-matters-payrollmatters.com/lucee-6.1.1.118/WEB-INF/lucee-server/context/extensions/available]"
"INFO","main","01/14/2025","16:33:31","extract-extension","Copy extension [37C61C0A-5D7E-4256-8572639BE0CF5838-2.2.4.15.lex] to temp directory [/tmp/37C61C0A-5D7E-4256-8572639BE0CF5838-2.2.4.15.lex]"
"INFO","main","01/14/2025","16:33:31","extract-extension","Extract the extension [8D7FB0DF-08BB-1589-FE3975678F07DB17-1.0.0.15.lex] from the lucee.jar to the local extension folder [/media/data/home/rbrown/.CommandBox/server/627A2B6F79A39DBC9AB93B2F1CFA04A9-payroll-matters-payrollmatters.com/lucee-6.1.1.118/WEB-INF/lucee-server/context/extensions/available]"
"INFO","main","01/14/2025","16:33:31","extract-extension","Copy extension [8D7FB0DF-08BB-1589-FE3975678F07DB17-1.0.0.15.lex] to temp directory [/tmp/8D7FB0DF-08BB-1589-FE3975678F07DB17-1.0.0.15.lex]"
"INFO","main","01/14/2025","16:33:31","controller","Copied [12] bundled extension(s) to local extension directory"
"INFO","main","01/14/2025","16:33:31","controller","Found Extensions to install (new;new-fresh):7E673D15-D87C-41A6-8B5F1956528C605F;name=MySQL;label=MySQL;version=9.0.0, 99A4EF8D-F2FD-40C8-8FB8C2E67A4EEEB6;name=MSSQL;label=MS SQL Server;version=12.6.3.jre11, 671B01B8-B3B3-42B9-AC055A356BED5281;name=PostgreSQL;label=PostgreSQL;version=42.7.3, 2BCD080F-4E1E-48F5-BEFE794232A21AF6;name=JDTsSQL;label=jTDS (MSSQL);version=1.3.1, CED6227E-0F49-6367-A68D21AACA6B07E8;name=Admin;label=Lucee Administrator;version=1.0.0.5, D46D49C3-EB85-8D97-30BEC2F38561E985;name=Doc;label=Lucee Documentation;version=1.0.0.4, 17AB52DE-B300-A94B-E058BD978511E39E;name=S3;label=S3;version=2.0.2.19, 87FE44E5-179C-43A3-A87B3D38BEF4652E;name=EHCache;label=EHCache;version=2.10.0.36, 66E312DD-D083-27C0-64189D16753FD6F0;name=PDF;label=PDF;version=1.2.0.10, B737ABC4-D43F-4D91-8E8E973E37C40D1B;name=Image;label=Image;version=2.0.0.26;since=5.3.0.35-ALPHA, 37C61C0A-5D7E-4256-8572639BE0CF5838;name=Esapi;label=ESAPI;version=2.2.4.15;since=5.3.0.37-ALPHA, 8D7FB0DF-08BB-1589-FE3975678F07DB17;name=Compress;label=Compress;version=1.0.0.15;since=5.3.2.31-SNAPSHOT"
"INFO","main","01/14/2025","16:33:31","extension","Update JDBC Driver [MySQL:class:com.mysql.cj.jdbc.Driver;name:com.mysql.cj;version:9.0.0;] from extension [MySQL:9.0.0]"
"INFO","main","01/14/2025","16:33:31","extension","Update JDBC Driver [Microsoft SQL Server (Vendor Microsoft):class:com.microsoft.sqlserver.jdbc.SQLServerDriver;name:org.lucee.mssql;version:12.6.3.jre11;] from extension [Microsoft SQL Server (Vendor Microsoft):12.6.3.jre11]"
"INFO","main","01/14/2025","16:33:31","extension","Update JDBC Driver [PostgreSQL:class:org.postgresql.Driver;name:org.postgresql.jdbc;version:42.7.3;] from extension [PostgreSQL:42.7.3]"
"INFO","main","01/14/2025","16:33:31","extension","Update JDBC Driver [jTDS (MSSQL,Sybase):class:net.sourceforge.jtds.jdbc.Driver;name:jtds;version:1.3.1;] from extension [jTDS (MSSQL,Sybase):1.3.1]"
